Altium Designer Pick and Place Locations
C:\Users\Kaelem\AppData\Local\TempReleases\Snapshot\1\Sources\Pick Place\Pick Place for Gimbal_Board_3_PCB.csv

========================================================================================================================
File Design Information:

Date:       13/11/24
Time:       01:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"10V","S2761-46R","TopLayer","S2761-46R","128.5240mm","97.0280mm","0","PC TEST POINT NATURAL"
"3.3V","S2761-46R","TopLayer","S2761-46R","91.4400mm","56.1340mm","180","PC TEST POINT NATURAL"
"10V","S2761-46R","TopLayer","S2761-46R","128.3970mm","93.9800mm","0","PC TEST POINT NATURAL"
"3.3V","S2761-46R","TopLayer","S2761-46R","125.3490mm","50.6730mm","0","PC TEST POINT NATURAL"
"5V","S2761-46R","TopLayer","S2761-46R","97.4090mm","86.8680mm","0","PC TEST POINT NATURAL"
"20V","S2761-46R","TopLayer","S2761-46R","108.7120mm","60.1980mm","0","PC TEST POINT NATURAL"
"5V","S2761-46R","TopLayer","S2761-46R","79.7560mm","78.6130mm","0","PC TEST POINT NATURAL"
"R17","0","TopLayer","0805","89.5350mm","82.4360mm","90","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R14","0","TopLayer","0805","96.3930mm","82.4360mm","90","RES Thick Film, 10O, 0.125W, 150V, 0805"
"L2","47uH","TopLayer","FP-LQM21DH_70-IPC_A","113.5380mm","93.7260mm","270","Multilayer Type Inductor for Power Lines, 0805 (2012), 47µH, 30%, 1.2O, 7mA"
"L1","47uH","TopLayer","FP-LQM21DH_70-IPC_A","110.3630mm","53.5940mm","270","Multilayer Type Inductor for Power Lines, 0805 (2012), 47µH, 30%, 1.2O, 7mA"
"U4","VR-PITCH","TopLayer","TO-263_N","109.9820mm","70.0050mm","90","Positive Voltage Regulator, 3-Pin D2PAK, Tape and Reel"
"C18","100nF","TopLayer","0805","113.4110mm","90.0430mm","270","CAP Ceramic, 100nF, 50V, 0805"
"C17","100nF","TopLayer","0805","111.5060mm","90.0430mm","270","CAP Ceramic, 100nF, 50V, 0805"
"C16","10uF","TopLayer","0805","118.7450mm","83.1850mm","90","CAP Ceramic, 10uF, 50V, 0805"
"C15","10uF","TopLayer","0805","110.4900mm","92.8370mm","0","CAP Ceramic, 10uF, 50V, 0805"
"C14","100nF","TopLayer","0805","110.9980mm","95.7450mm","90","CAP Ceramic, 100nF, 50V, 0805"
"C13","100nF","TopLayer","0805","113.6520mm","97.5360mm","0","CAP Ceramic, 100nF, 50V, 0805"
"C12","100nF","TopLayer","0805","110.3630mm","50.4190mm","180","CAP Ceramic, 100nF, 50V, 0805"
"C11","100nF","TopLayer","0805","113.4110mm","53.5940mm","270","CAP Ceramic, 100nF, 50V, 0805"
"C10","10uF","TopLayer","0805","103.5050mm","52.7050mm","90","CAP Ceramic, 10uF, 50V, 0805"
"C9","10uF","TopLayer","0805","107.9500mm","52.9590mm","270","CAP Ceramic, 10uF, 50V, 0805"
"C8","100nF","TopLayer","0805","112.6490mm","57.6580mm","90","CAP Ceramic, 100nF, 50V, 0805"
"C7","100nF","TopLayer","0805","118.8720mm","62.6110mm","180","CAP Ceramic, 100nF, 50V, 0805"
"Y1","16MHz","TopLayer","FP-XRCHA-MFG","79.6290mm","69.3420mm","90","CRYSTAL 16.0000MHZ 8PF SMD"
"U3","ATmega328-AU","TopLayer","32A_L","89.4080mm","74.6760mm","0","8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 32-pin TQFP, Industrial Grade (-40°C to 85°C)"
"Pitch MC","MC_PITCH","TopLayer","FP-PWP0024B-MFG","119.6130mm","93.8490mm","0","IC MOTOR DRIVER 8V-28V 24HTSSOP"
"Roll MC","MC_ROLL","TopLayer","FP-PWP0024B-MFG","119.1260mm","53.8480mm","0","IC MOTOR DRIVER 8V-28V 24HTSSOP"
"SW1","Reset_Button","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","69.7230mm","74.0410mm","90","SWITCH TACTILE SPST-NO 0.05A 12V"
"R32","0","TopLayer","0805","82.2960mm","67.4370mm","90","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R31","0","TopLayer","0805","98.2980mm","77.4700mm","180","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R30","0","TopLayer","0805","80.8990mm","72.0090mm","180","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R29","0","TopLayer","0805","109.7280mm","81.0260mm","180","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R28","0","TopLayer","0805","98.3170mm","69.0880mm","0","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R27","0","TopLayer","0805","98.2980mm","66.2940mm","0","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R26","0","TopLayer","0805","95.1230mm","67.1830mm","270","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R25","0","TopLayer","0805","92.7100mm","67.1830mm","270","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R24","0","TopLayer","0805","90.2970mm","67.1830mm","270","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R23","0","TopLayer","0805","87.7570mm","67.1700mm","270","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R22","0","TopLayer","0805","84.5820mm","67.4370mm","270","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R21","0","TopLayer","0805","79.6290mm","76.3270mm","180","RES Thick Film, 10O, 0.125W, 150V, 0805"
"R20","0","TopLayer","0805","83.1850mm","82.4230mm","90","RES Thick Film, 10O, 0.125W, 150V, 0805"
